origem,destino,tempo_min,passageiros
14,6,3.73,11
14,7,4.4,9
14,8,5.75,9
14,9,1.68,2
14,10,1.91,4
14,11,2.81,5
14,12,2.61,2
14,13,3.23,1
14,15,2.34,5
14,16,2.9,6
14,17,3.48,6
14,18,3.37,13
14,19,4.03,14
14,20,4.87,14
14,21,6.92,7
14,22,6.73,1
14,23,8.48,6
14,24,2.23,25
14,25,1.17,6
14,26,1.43,6
14,27,4.5,6
14,28,2.5,5
14,29,2.94,6
14,30,2.83,4
14,31,3.46,11
14,32,4.5,3
15,1,5.16,23
15,2,5.36,31
15,3,4.72,4
15,4,4.46,4
15,5,4.54,5
15,6,4.81,11
15,7,5.3,9
15,8,5.42,9
15,9,5.36,2
15,10,5.59,4
15,11,6.49,5
15,12,5.97,2
15,13,6.19,1
15,14,4.45,1
15,16,4.98,6
15,17,5.56,6
15,18,4.96,13
15,19,3.21,14
15,20,4.04,14
15,21,6.1,7
15,22,5.91,1
15,23,7.66,6
15,24,5.42,25
15,25,4.29,6
15,26,4.0,6
15,27,3.67,6
15,28,1.95,5
15,29,2.12,6
15,30,2.0,4
15,31,2.63,11
15,32,3.67,3
16,1,4.06,23
16,2,2.46,31
16,3,1.11,4
16,4,3.37,4
16,5,1.74,5
16,6,2.52,11
16,7,3.19,9
16,8,4.93,9
16,9,3.23,2
16,10,3.2,4
16,11,3.25,5
16,12,2.73,2
16,13,2.33,1
16,14,3.19,1
16,15,3.13,5
16,17,0.58,6
16,18,2.17,13
16,19,4.13,14
16,20,4.96,14
16,21,7.02,7
16,22,6.83,1
16,23,8.58,6
16,24,2.52,25
16,25,2.82,6
16,26,2.39,6
16,27,3.97,6
16,28,2.6,5
16,29,3.04,6
16,30,2.93,4
16,31,3.56,11
16,32,4.59,3
17,1,3.97,23
17,2,3.04,31
17,3,1.69,4
17,4,3.14,4
17,5,1.51,5
17,6,2.28,11
17,7,2.96,9
17,8,4.69,9
17,9,3.81,2
17,10,3.78,4
17,11,3.83,5
17,12,3.31,2
17,13,2.58,1
17,14,3.09,1
17,15,3.68,5
17,16,0.58,6
17,18,1.93,13
17,19,4.65,14
17,20,5.52,14
17,21,7.56,7
17,22,7.38,1
17,23,9.13,6
17,24,3.1,25
17,25,2.73,6
17,26,2.58,6
17,27,4.52,6
17,28,3.15,5
17,29,3.59,6
17,30,3.48,4
17,31,4.11,11
17,32,4.44,3
18,1,4.67,23
18,2,3.99,31
18,3,2.41,4
18,4,2.57,4
18,5,1.04,5
18,6,1.72,11
18,7,2.4,9
18,8,4.13,9
18,9,4.65,2
18,10,4.64,4
18,11,5.02,5
18,12,4.09,2
18,13,3.37,1
18,14,3.79,1
18,15,4.38,5
18,16,2.05,6
18,17,1.47,6
18,19,4.09,14
18,20,5.79,14
18,21,7.06,7
18,22,7.15,1
18,23,9.25,6
18,24,4.04,25
18,25,3.42,6
18,26,3.27,6
18,27,4.64,6
18,28,3.85,5
18,29,4.28,6
18,30,4.17,4
18,31,4.09,11
18,32,3.88,3
19,1,6.92,23
19,2,6.82,31
19,3,6.06,4
19,4,4.91,4
19,5,4.99,5
19,6,4.11,11
19,7,4.34,9
19,8,4.47,9
19,9,6.96,2
19,10,7.19,4
19,11,8.09,5
19,12,7.56,2
19,13,7.53,1
19,14,6.05,1
19,15,4.81,5
19,16,6.31,6
19,17,6.05,6
19,18,4.59,13
19,20,1.7,14
19,21,4.05,7
19,22,3.57,1
19,23,5.61,6
19,24,6.88,25
19,25,5.89,6
19,26,5.51,6
19,27,2.72,6
19,28,3.52,5
19,29,3.59,6
19,30,3.47,4
19,31,1.68,11
19,32,2.72,3
20,1,7.5,23
20,2,6.86,31
20,3,6.11,4
20,4,4.96,4
20,5,5.04,5
20,6,4.16,11
20,7,4.39,9
20,8,4.52,9
20,9,7.49,2
20,10,7.77,4
20,11,8.41,5
20,12,7.89,2
20,13,7.58,1
20,14,6.62,1
20,15,5.85,5
20,16,6.36,6
20,17,6.1,6
20,18,4.63,13
20,19,2.86,14
20,21,2.42,7
20,22,1.86,1
20,23,4.41,6
20,24,6.92,25
20,25,6.26,6
20,26,5.55,6
20,27,3.8,6
20,28,4.82,5
20,29,4.89,6
20,30,4.77,4
20,31,2.86,11
20,32,2.45,3
21,1,6.69,23
21,2,6.05,31
21,3,5.29,4
21,4,4.15,4
21,5,4.22,5
21,6,3.34,11
21,7,3.58,9
21,8,3.71,9
21,9,6.68,2
21,10,6.96,4
21,11,7.6,5
21,12,7.08,2
21,13,6.77,1
21,14,5.81,1
21,15,5.46,5
21,16,5.55,6
21,17,5.29,6
21,18,3.82,13
21,19,2.05,14
21,20,2.21,14
21,22,0.41,1
21,23,4.13,6
21,24,6.11,25
21,25,5.45,6
21,26,4.74,6
21,27,2.99,6
21,28,4.01,5
21,29,4.08,6
21,30,3.96,4
21,31,2.05,11
21,32,1.64,3
22,1,6.28,23
22,2,5.65,31
22,3,4.89,4
22,4,3.74,4
22,5,3.82,5
22,6,2.94,11
22,7,3.17,9
22,8,3.3,9
22,9,6.27,2
22,10,6.55,4
22,11,7.2,5
22,12,6.68,2
22,13,6.36,1
22,14,5.41,1
22,15,5.05,5
22,16,5.14,6
22,17,4.88,6
22,18,3.41,13
22,19,1.64,14
22,20,1.8,14
22,21,2.83,7
22,23,5.02,6
22,24,5.71,25
22,25,5.04,6
22,26,4.33,6
22,27,2.58,6
22,28,3.6,5
22,29,3.67,6
22,30,3.56,4
22,31,1.64,11
22,32,1.23,3
23,1,8.06,23
23,2,7.42,31
23,3,6.66,4
23,4,5.51,4
23,5,5.59,5
23,6,4.71,11
23,7,4.95,9
23,8,5.07,9
23,9,8.04,2
23,10,8.32,4
23,11,8.97,5
23,12,8.45,2
23,13,8.13,1
23,14,7.18,1
23,15,6.82,5
23,16,6.92,6
23,17,6.66,6
23,18,5.19,13
23,19,3.42,14
23,20,3.58,14
23,21,1.37,7
23,22,1.77,1
23,24,7.48,25
23,25,6.82,6
23,26,6.11,6
23,27,4.36,6
23,28,5.38,5
